451197419	20150622	201506	2015	2015.4712	CHR	CHRISTIAN MISSIONARIES				CHR					LEG	PARLIAMENT						LEG			1	114	114	11	3	-2.0	2	1	2	-5.61904761904762	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	20150722060000	http://ekurd.net/yazidi-kurds-say-they-are-being-targeted-for-christian-conversion-2015-07-22
451197420	20150622	201506	2015	2015.4712	GOV	GOVERNMENT						GOV													1	130	130	13	3	-4.4	5	1	5	-5.30303030303031	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	0								4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	20150722060000	http://www.abc.net.au/worldtoday/content/2015/s4278616.htm
451197421	20150622	201506	2015	2015.4712	GOV	GOVERNMENT						GOV			AFGINSTAL	TALIBAN	AFG	TAL				INS			1	130	130	13	3	-4.4	5	1	5	-5.30303030303031	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	20150722060000	http://www.abc.net.au/worldtoday/content/2015/s4278616.htm
451197422	20150622	201506	2015	2015.4712	IRQ	IRAQ	IRQ								LEG	PARLIAMENT						LEG			1	114	114	11	3	-2.0	8	1	8	-5.61904761904762	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	20150722060000	http://ekurd.net/yazidi-kurds-say-they-are-being-targeted-for-christian-conversion-2015-07-22
451197423	20150622	201506	2015	2015.4712	UKR	UKRAINE	UKR																		0	163	163	16	4	-8.0	2	1	2	-8.16901408450707	1	Ukraine	UP	UP		49	32	UP	0								4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20150722060000	http://www.theedgemarkets.com/en/article/dutch-flower-sellers-say-russia%E2%80%99s-ban-threat-may-have-mh17-link
451197424	20150622	201506	2015	2015.4712	USA	UNITED STATES	USA																		1	111	111	11	3	-2.0	2	1	2	-1.77725118483412	3	Miami, Florida, United States	US	USFL	FL086	25.7743	-80.1937	295004	0								3	Miami, Florida, United States	US	USFL	FL086	25.7743	-80.1937	295004	20150722060000	http://www.daily-chronicle.com/2015/07/17/pitts-should-pope-stick-to-religion/atpotfl/
451197425	20150715	201507	2015	2015.5342	AUSGOV	VICTORIA	AUS					GOV			UKR	KYIV	UKR								1	042	042	04	1	1.9	7	1	7	-2.64150943396226	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20150722060000	http://www.freenewspos.com/en/home-news-article/c/4356092/John-Kerry/us-secretary-of-state-john-kerry-l-british-foreign-secretary-philip-hammond-c-and-russian-foreign-minister-sergey-lavrov-r-sit-around-the
451197426	20150715	201507	2015	2015.5342	AUSGOV	VICTORIA	AUS					GOV			UKR	KYIV	UKR								1	042	042	04	1	1.9	1	1	1	-2.64150943396226	1	France	FR	FR		46	2	FR	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20150722060000	http://www.freenewspos.com/en/home-news-article/c/4356092/John-Kerry/us-secretary-of-state-john-kerry-l-british-foreign-secretary-philip-hammond-c-and-russian-foreign-minister-sergey-lavrov-r-sit-around-the
451197427	20150715	201507	2015	2015.5342	CVL	SETTLEMENT						CVL			MNC	BRITISH PETROLEUM						MNC			1	040	040	04	1	1.0	1	1	1	-1.35685210312076	3	Cape Coral, Florida, United States	US	USFL	FL071	26.5629	-81.9495	279997	3	Cape Coral, Florida, United States	US	USFL		26.5629	-81.9495	279997	3	Cape Coral, Florida, United States	US	USFL		26.5629	-81.9495	279997	20150722060000	http://www.fort-myers-beach-observer.com/page/content.detail/id/527730/Kiker-reacts-to-County-BP-Oil-settlement.html
451197428	20150715	201507	2015	2015.5342	EDU	SCHOOL						EDU													1	010	010	01	1	0.0	3	1	3	-2.05128205128205	3	Memphis, Tennessee, United States	US	USTN	TN157	35.1495	-90.049	1326388	0								3	Memphis, Tennessee, United States	US	USTN	TN157	35.1495	-90.049	1326388	20150722060000	http://tn.chalkbeat.org/2015/07/21/a-charter-schools-possible-closure-raises-questions-about-oversight/
451197429	20150715	201507	2015	2015.5342	GBR	BRITISH	GBR								USA	UNITED STATES	USA								1	040	040	04	1	1.0	4	1	4	-1.35685210312076	1	United Kingdom	UK	UK		54	-2	UK	3	Lee County, Florida, United States	US	USFL		26.567	-81.8831	295758	3	Lee County, Florida, United States	US	USFL		26.567	-81.8831	295758	20150722060000	http://www.fort-myers-beach-observer.com/page/content.detail/id/527730/Kiker-reacts-to-County-BP-Oil-settlement.html
451197430	20150715	201507	2015	2015.5342	GOV	PRESIDENT						GOV													1	120	120	12	3	-4.0	10	1	10	-0.70011668611435	4	Chibok, Borno, Nigeria	NI	NI27	191091	10.8658	12.847	-2003729	0								4	Chibok, Borno, Nigeria	NI	NI27	191091	10.8658	12.847	-2003729	20150722060000	http://www.naij.com/493554-7-best-highlights-of-buharis-tenure-so-far.html
451197431	20150715	201507	2015	2015.5342	GOVHRI	MINIST OF WOMEN						GOV	HRI		FJI	SUVA	FJI								1	020	020	02	1	3.0	6	1	6	-1.55038759689922	4	Nadi, Western, Fiji	FJ	FJ05	40204	-17.8	177.417	-1191076	4	Nadi, Western, Fiji	FJ	FJ05	40204	-17.8	177.417	-1191076	4	Nadi, Western, Fiji	FJ	FJ05	40204	-17.8	177.417	-1191076	20150722060000	http://www.fijitimes.com/story.aspx?id=314894
